Word,emotion_category
mubarak,joy
khushi,joy
khush,joy
maza,joy
khob,joy
zabardast,joy
shaandaar,joy
Mast,joy
josh,joy
Hasna,joy
Masti,joy
Wahwah,joy
khushion,joy
khushhaal,joy
dilchaspi,joy
muskurahat,joy
achi,joy
Khoshgwar,joy
khilkhilana,joy
muhabbat,joy
sukoon,joy
bohat maza,joy
chamak,joy
chaein,joy
qaraar,joy
suroor,joy
musarrat,joy
shadmani,joy
Rahat,joy
farhat,joy
,joy
happy,joy
joy,joy
fantastic,joy
wonderful,joy
great,joy
excellent,joy
Udaasi,sadness
dukh,sadness
bura,sadness
mayusi,sadness
bezaari,sadness
udaas,sadness
afsos,sadness
ghabrahat,sadness
ranj,sadness
kharab,sadness
bura,sadness
rona,sadness
aansu,sadness
toota,sadness
dard,sadness
takleef,sadness
museebat,sadness
pareshan,sadness
bechain,sadness
ghamzada,sadness
gam,sadness
mayusi,sadness
naummedi,sadness
thakan,sadness
bezaar,sadness
narazgi,sadness
Akela,sadness
ghabrahat,sadness
zakahm,sadness
mout,sadness
intezar,sadness
malal,sadness
sog,sadness
ghamgeen,sadness
sharmindagi,sadness
zilat,sadness
sad,sadness
unhappy,sadness
depressed,sadness
cry,sadness
tears,sadness
pain,sadness
hurt,sadness
broken,sadness
lost,sadness
bad,sadness
worst,sadness
awful,sadness
terrible,sadness
tragedy,sadness
miss,sadness
ghussa,anger
naraz,anger
lanat,anger
khafa,anger
chid,anger
gazab,anger
ghussah,anger
sakht gussa,anger
shadeed gussa,anger
beqaboo,anger
aatish,anger
aatish mizaj,anger
aag,anger
aag bagola,anger
deewana,anger
pagal,anger
junoon,anger
tang,anger
tang aana,anger
bezar,anger
bezari,anger
pareshan,anger
bechain,anger
takleef,anger
diqat,anger
nafrat,anger
karahat,anger
chir,anger
chidchidahat,anger
makkar,anger
nakara,anger
bewakoof,anger
bayhooda,anger
haywan,anger
zalil,anger
badtameez,anger
dhoka,anger
bewafai,anger
dagha,anger
jaali,anger
farebi,anger
zulm,anger
istimal,anger
maar,anger
maar peet,anger
peet,anger
peetna,anger
kuchal,anger
kuchalna,anger
tor,anger
phar,anger
tabah,anger
barbaad,anger
zehr,anger
pagalpan,anger
sar ghoom gaya,anger
dimaagh kharab,anger
ulta seedha bolna,anger
andaaz dekh,anger
dil jal gaya,anger
ghussay mein laal,anger
chillana,anger
dantna,anger
phat gaya,anger
tang aa gaya,anger
barish-e-ghussa,anger
dimagh ka dahi,anger
tooba tooba,anger
ulta jawab,anger
ghussa chadhna,anger
jal kar raakh,anger
phat jaana,anger
had ho gayi,anger
theek,neutral
acha,neutral
thik,neutral
bas,neutral
abhi,neutral
haan,neutral
nahin,neutral
shayad,neutral
pata,neutral
baat,neutral
soch,neutral
sochna,neutral
chup,neutral
shaant,neutral
aaraam,neutral
thehra,neutral
sabr,neutral
dheere,neutral
sunta,neutral
suno,neutral
baith,neutral
baithna,neutral
dekho,neutral
dekhna,neutral
rukna,neutral
ruk,neutral
chalo,neutral
chalta,neutral
seedha,neutral
saaf,neutral
theek hai,neutral
