correct_spelling,wrong_spelling1,wrong_spelling2,wrong_spelling3,wrong_spelling4,wrong_spelling5,english_meaning,emotion_category
mubarak,mubark,mubarik,mubarakk,mubrak,,congratulations,joy
khushi,khoshi,kushi,khushy,khushie,,Happiness,joy
khush,khushhh,khosh,kush,khussh,,Happy,joy
maza,maaza,mazza,mazah,mazzaa,mazay,pleasure,joy
khob,khoob,khub,khoobh,khoub,,Good,joy
zabardast,zbardast,zabrdast,zabardust,zaberdust,,Excellent,joy
shaandaar,shandar,shandaar,shandr,shaandr,,Magnificent,joy
Mast,must,musst,mastt,,Mast,Drunk,joy
josh,joosh,joush,joshh,jos8,,Passion,joy
Hasna,hansna,hunsna,husna,,hansna,Laugh,joy
Masti,mastti,masth,maasti,,Masti,Fun,joy
Wahwah,wah,wahh,,wahhh,wah,Wow,joy
khushion,khushiun,khushiyon,Khoshion,khoshiun,,Joys,joy
khushhaal,khushhal,,,,khushhal,Happy,joy
dilchaspi,dilchasp,dilchusp,dillchusp,,,,interesting,joy
muskurahat,muskrahat,mushkurana,muskurai,,,smile,joy
achi,aachi,aa6i,axhi,achi,,Good,joy
Khoshgwar,khooshgawar,khushgwaar,khushgwar,,Khoshgwar,happiness,joy
khilkhilana,khilkhalana,khilkhilahat,,,,laugh lightly,joy
muhabbat,mohabat,muhabat,mohabt,muhbt,,Love,joy
sukoon,sakun,sakoon,sukun,sakon,,Peace,joy
bohat maza,bahut maze,buhat maza,buhat maze,,,full enjoy,joy
chamak,chamk,chamakdamak,chamuk,chmak,,shine,joy
chaein,chaen,chein,cheain,,,Peace,joy
qaraar,Qarar,karar,karaar,,Qarar,Decision,joy
suroor,suror,,,,suroor,happiness,joy
musarrat,mussart,mussarrat,musarit,musart,,happypeace,joy
shadmani,shadmaani,sadamani,shadamani,sadmani,,Decency,joy
Rahat,raht,raahat,rahaat,rahet,,peace,joy
farhat,farhaat,faaraht,ferhet,farhet,,,joy
happy,happii,happiest,happyyy,happpyyy,,,joy
joy,jo8,joii,joyyy,joys,,,joy
fantastic,fantastac,fantactic,,,,,joy
wonderful,wonderfull,wanderful,,,,,joy
great,greatest,,,,,,joy
excellent,excellence,,,,,,joy
Udaasi,udasi,uddasi,udasii,,Udaasi,Sadness,sadness
dukh,dukhh,duk,dukhi,dukhhi,,sadness,sadness
bura,buraa,burra,burah,buraah,,bad,sadness
mayusi,mayoosi,mayousi,mayusii,mayusee,,sadness,sadness
bezaari,bezari,bezzari,chubhan,chuban,,irritation,sadness
udaas,udas,udhaas,udaass,,udaas,Sad,sadness
afsos,afsos,afsoss,afsoos,,afsoos,Regret,sadness
ghabrahat,ghabrana,ghabraht,,,ghabrahat,suffocation,sadness
ranj,runj,ranjh,rannj,,ranj,Sorrow,sadness
kharab,karab,kharaab,kharrab,kharabb,,Bad,sadness
rona,roona,ronaa,ronah,,rona,cry,sadness
aansu,aansoo,Ansoo,aanso,anso,,Tears,sadness
toota,tota,tuta,tutaa,,toota,Broken,sadness
dard,drd,derd,durd,darrd,,Pain,sadness
takleef,taklef,taklif,taqleef,taqlif,,Difficulty,sadness
museebat,musebat,maseebat,museebt,,,,sadness
pareshan,pareshaan,pareshann,pareshaann,parashan,,distressed,sadness
bechain,bechayn,bechainn,bechaain,bechaynn,,restless,sadness
ghamzada,ghanzada,ghumzada,gamzada,ghmzada,,Afflicted,sadness
gam,gham,ghum,gum,,gham,Sorrow,sadness
naummedi,,,,,,,sadness
thakan,,,,,,,sadness
bezaar,bezar,bezaarr,bezaaar,bezaarh,bezarh,annoyed,sadness
narazgi,nrzgi,narzgi,,,narazgi,Anger,sadness
Akela,akelapan,tanhai,,,Akela,Alone,sadness
zakahm,zakham,zakhm,,,zakahm,Wound,sadness
mout,mot,,,,,death,sadness
intezar,intazaar,intizar,intizaar,intzar,,Wait,sadness
malal,malaal,,,,,,sadness
sog,Sogh,,,,Sogh,,sadness
ghamgeen,,,,,,,sadness
sharmindagi,sharmndagi,,,,sharmindagi,embarrassment,sadness
zilat,zillat,zilaat,,,zilat,Humiliation,sadness
sad,sadd,,,,,,sadness
unhappy,nhappii,,,,,,sadness
depressed,depress,,,,,,sadness
cry,crii,,,,,,sadness
tears,,,,,,,sadness
pain,,,,,,,sadness
hurt,,,,,,,sadness
broken,,,,,,,sadness
lost,,,,,,,sadness
bad,,,,,,,sadness
worst,,,,,,,sadness
awful,,,,,,,sadness
terrible,,,,,,,sadness
tragedy,,,,,,,sadness
miss,,,,,,,sadness
ghussa,ghussa,ghusa,ghussah,gossah,gosaa,anger,anger
naraz,naraaz,naaraz,narazgii,narazgi,naraazgi,angry or upset,anger
lanat,laanat,lanet,lanath,lanut,lanutt,curse or damnation,anger
khafa,khffa,khaffa,kafa,khafah,khafaa,upset or displeased,anger
chid,chidh,chidchidh,chidd,chit,chiddh,annoyed,anger
gazab,gazub,gazabh,gazzab,guzab,ghazab,rage or fury,anger
ghussah,ghussa,gussa,ghusaa,ghussaa,ghussar,anger (emphasis),anger
sakht gussa,sakth gussa,sakt gussa,sakht ghussa,sakhth gussa,sakht gosa,severe anger,anger
shadeed gussa,shadead gussa,shadid gussa,shadeed ghussa,shadheed gussa,shadid ghusa,intense anger,anger
beqaboo,beqabu,beqabu,beekabu,beqabho,beqabuu,out of control,anger
aatish,aathish,aatis,aatishh,aathesh,aatesh,fire,anger
aatish mizaj,aatish mizaz,aathish mizaj,aatesh mizaj,aatesh mizaz,aathish mizaz,hot-tempered,anger
aag,aagh,aaggh,aaghh,aagz,aagk,fire,anger
aag bagola,aag baghola,aag bagula,aagh bagola,aag bagolaa,aag bhagola,burning with rage,anger
deewana,diwana,dewana,deewanaa,diwaana,deewna,crazy or mad,anger
pagal,paagal,pagalh,paaghal,pagalh,pagaloo,mad,anger
junoon,junon,janoon,janooan,junnon,junnun,madness or obsession,anger
tang,ttang,tanng,tangg,tung,tanngg,frustrated or irritated,anger
tang aana,ttang aana,tunng aana,tang ana,tung aana,tang ana,frustrated or fed up,anger
bezar,bezaar,bezaarh,bezzar,bezaaar,bezaahr,disinterested or bored,anger
bezari,bezaari,bezaaree,bezaarhee,bezaare,bezzari,boredom or disinterest,anger
pareshan,pareshaan,preshan,parashan,pareshaaan,parishan,worried or disturbed,anger
bechain,bechayn,bechein,bechainn,bechein,bechane,restless,anger
takleef,taklief,takleefh,taklif,takleiph,taklef,pain or discomfort,anger
diqat,diqatn,deqat,diqaat,deqat,dikat,difficulty or problem,anger
nafrat,nafret,nafruth,nafrrat,nafratt,naffrat,hatred,anger
karahat,karaht,krahath,karhat,karhatth,karhaat,disgust or repulsion,anger
chir,chirr,chirrr,chirrh,chirh,chirrhh,irritation,anger
chidchidahat,chidchidat,chidchidahaat,chidchidhahat,chidhchidahat,chidchidahat,irritability,anger
makkar,makaar,makkarr,makkaar,makaarh,makarr,deceitful or sly,anger
